lat,lon,year,month,day,hour,avg_volume
40.634688,-73.928175,2024,08,1,0,8779.333984
40.634688,-73.928175,2024,09,1,0,2210.270752
40.634688,-73.928175,2024,10,1,0,1144.260986
40.634688,-73.928175,2024,11,1,0,7189.791016
40.634688,-73.928175,2024,12,1,0,1996.243408
40.634688,-73.928175,2025,01,1,0,846.304077
40.634688,-73.928175,2024,02,1,0,5220.854004
40.634688,-73.928175,2024,03,1,0,4898.996582
40.634688,-73.928175,2024,04,1,0,2890.496094
40.634688,-73.928175,2025,05,1,0,6769.982422
40.682433,-74.002408,2024,06,1,0,2472.240967
40.682433,-74.002408,2024,07,1,0,1750.082886
40.682433,-74.002408,2024,08,1,0,8685.337891
40.682433,-74.002408,2024,09,1,0,2129.950439
40.682433,-74.002408,2024,10,1,0,1017.570557
40.682433,-74.002408,2024,11,1,0,7134.752441
40.682433,-74.002408,2024,12,1,0,2024.973145
40.682433,-74.002408,2025,01,1,0,860.967529
40.682433,-74.002408,2024,02,1,0,5278.352051
40.682433,-74.002408,2024,03,1,0,5027.620117
40.682433,-74.002408,2024,04,1,0,3008.626221
40.682433,-74.002408,2025,05,1,0,6914.245605
40.608505,-74.016121,2024,06,1,0,1270.629395
40.608505,-74.016121,2024,07,1,0,117.792625
40.608505,-74.016121,2024,08,1,0,8025.768066
40.608505,-74.016121,2024,09,1,0,1301.271240
40.608505,-74.016121,2024,10,1,0,35.381618
40.608505,-74.016121,2024,11,1,0,6544.972656
40.608505,-74.016121,2024,12,1,0,1244.942627
40.608505,-74.016121,2025,01,1,0,0.000000
40.608505,-74.016121,2024,02,1,0,4455.580078
40.608505,-74.016121,2024,03,1,0,4445.278320
40.608505,-74.016121,2024,04,1,0,2096.812744
40.608505,-74.016121,2025,05,1,0,6154.431152
40.619844,-74.015076,2024,06,1,0,918.605225
40.619844,-74.015076,2024,07,1,0,0.000000
40.619844,-74.015076,2024,08,1,0,7865.658691
40.619844,-74.015076,2024,09,1,0,982.858032
40.619844,-74.015076,2024,10,1,0,0.000000
40.619844,-74.015076,2024,11,1,0,6336.770996
40.619844,-74.015076,2024,12,1,0,631.756958
40.619844,-74.015076,2025,01,1,0,0.000000
40.619844,-74.015076,2024,02,1,0,3742.463135
